route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
12,"0_1","0_1_1206_12_10025","Dubrava",,0,1206,"12_1"
13,"0_1","0_1_1304_13_10046","Kvat. trg",,1,1304,"13_11"
5,"0_1","0_1_509_5_10012","Prečko",,1,509,"5_9"
131,"0_1","0_1_13102_131_10003","Bizek",,0,13102,"131_1"
6,"0_1","0_1_605_6_10037","Savski gaj",,0,605,
17,"0_1","0_1_1712_17_10032","Prečko",,1,1712,"17_11"
8,"0_1","0_1_805_8_10028","Mihaljevac",,1,805,"8_9"
4,"0_1","0_1_405_4_10013","Dubec",,0,405,"4_1"
6,"0_1","0_1_613_6_10066","Črnomerec",,1,613,"6_12"
1,"0_1","0_1_102_1_10006","Z. kolodvor",,1,102,"1_7"
174,"0_1","0_1_17401_174_10001","Hru. Kupljenski",,0,17401,"174_8"
216,"0_1","0_1_21704_216_10002","Kvat. trg",,1,21704,"216_5"
213,"0_1","0_1_22302_213_10004","Dubrava",,1,22302,"213_1"
227,"0_1","0_1_22703_227_10001","Grač. dolje",,0,22703,"227_6"
172,"0_1","0_1_17203_172_10017","Zaprešić",,0,17203,"172_21"
264,"0_1","0_1_26401_264_10001","Jesenovec",,0,26401,"264_3"
123,"0_1","0_1_12301_123_10005","Pods. Dolje",,0,12301,"123_6"
277,"0_1","0_1_27701_277_10008","Sesvete",,1,27701,"277_8"
215,"0_1","0_1_21502_215_10019","Trnava",,0,21502,"215_3"
217,"0_1","0_1_21703_217_10002","Kvat. trg",,1,21703,"217_6"
149,"0_1","0_1_12901_149_10005","Vrhovec",,0,12901,
220,"0_1","0_1_22001_220_10004","Gl.kolodvor",,1,22001,"220_2"
262,"0_1","0_1_26201_262_10002","Dubec",,1,26201,"262_2"
237,"0_1","0_1_23701_237_10002","Kvat. trg",,1,23701,"237_2"
231,"0_1","0_1_23101_231_10003","Dubec",,0,23101,"231_7"
137,"0_1","0_1_13701_137_10002","Črnomerec",,1,13701,"137_6"
263,"0_1","0_1_26302_263_10019","Planina Gornja",,0,26302,"263_7"
230,"0_1","0_1_23001_230_10001","Gran. Novaki",,0,23001,"230_5"
176,"0_1","0_1_17602_176_10021","G. Bistra",,0,17602,"176_27"
229,"0_1","0_1_22901_229_10005","Mala Mlaka",,0,22901,"229_8"
14,"0_1","0_1_1405_14_10029","Savski gaj-rotor",,0,1405,
7,"0_1","0_1_705_7_10054","Savski most",,1,705,"7_68"
11,"0_1","0_1_1111_11_10031","Dubec",,0,1111,"11_1"
5,"0_1","0_1_504_5_10029","Park Maksimir",,0,504,"5_18"
15,"0_1","0_1_1501_15_10027","Grač. dolje",,0,1501,"15_1"
14,"0_1","0_1_1412_14_10104","Mihaljevac",,1,1412,"14_9"
128,"0_1","0_1_12801_128_10007","Lukšić",,0,12801,"128_3"
263,"0_1","0_1_26301_263_10004","Dubec",,1,26301,"263_2"
117,"0_1","0_1_11701_117_10003","Jarun",,0,11701,
209,"0_1","0_1_20902_209_10015","Čučerje",,0,20902,"209_8"
226,"0_1","0_1_22602_226_10001","Svetice",,0,22602,"226_3"
205,"0_1","0_1_20502_205_10003","Bidrovec",,0,20502,"205_7"
223,"0_1","0_1_22301_223_10001","Dubec",,0,22301,"223_5"
119,"0_1","0_1_11901_119_10025","Podsused",,0,11901,"119_5"
182,"0_1","0_1_18201_182_10001","Šibice",,0,18201,"182_5"
272,"0_1","0_1_27101_272_10008","Dubec",,1,27101,"272_5"
134,"0_1","0_1_13401_134_10011","Prečko",,0,13401,
126,"0_1","0_1_12601_126_10001","Krvarić",,0,12601,"126_1"
226,"0_1","0_1_22601_226_10002","Kaptol",,1,22601,"226_1"
274,"0_1","0_1_27401_274_10004","Dubec",,1,27401,"274_6"
269,"0_1","0_1_26901_269_10004","Borongaj",,1,26901,"269_15"
118,"0_1","0_1_11801_118_10004","Trg Mažur.",,1,11801,"118_1"
133,"0_1","0_1_13301_133_10003","Sv. Klara",,0,13301,"133_6"
208,"0_1","0_1_20801_208_10002","Dubrava",,1,20801,"208_2"
269,"0_1","0_1_26902_269_10023","Ses.Kraljev.",,0,26902,"269_14"
164,"0_1","0_1_16402_164_10002","Savski most",,1,16402,"164_6"
131,"0_1","0_1_13102_131_10002","Črnomerec",,1,13102,"131_2"
290,"0_1","0_1_29003_290_10006","Kvat. trg",,1,29003,"290_2"
274,"0_1","0_1_27402_274_10011","Laktec",,0,27402,"274_4"
217,"0_1","0_1_21702_217_10005","Petruš. nas.",,0,21702,"217_5"
111,"0_1","0_1_11101_111_10002","Savski most",,1,11101,"111_8"
219,"0_1","0_1_21901_219_10001","Sloboština",,0,21901,"219_5"
125,"0_1","0_1_12501_125_10005","G. Vrapče",,0,12501,"125_1"
270,"0_1","0_1_27001_270_10002","Dubec",,1,27001,"270_6"
220,"0_1","0_1_22002_220_10013","Dugave",,0,22002,"220_3"
224,"0_1","0_1_22401_224_10008","Dubec",,1,22401,"224_2"
161,"0_1","0_1_16102_161_10006","Savski most",,1,16102,
225,"0_1","0_1_22502_225_10004","Sesvete",,1,22502,"225_12"
205,"0_1","0_1_20501_205_10002","Dubrava",,1,20501,"205_2"
268,"0_1","0_1_26801_268_10028","Gl.kolodvor",,1,26801,"268_2"
271,"0_1","0_1_27102_271_10025","Glavnica D.",,0,27102,"271_8"
163,"0_1","0_1_11201_163_10013","G. Trpuci",,0,11201,"163_15"
172,"0_1","0_1_17201_172_10008","Črnomerec",,1,17201,"172_11"
172,"0_1","0_1_17208_172_10004","Črnomerec",,1,17208,"172_44"
110,"0_1","0_1_11001_110_10002","Savski most",,1,11001,"110_2"
159,"0_1","0_1_11203_159_10002","Savski most",,1,11203,"159_2"
243,"0_1","0_1_24301_243_10005","Kajzerica",,0,24301,"243_1"
2,"0_1","0_1_209_2_10024","Črnomerec",,1,209,"2_13"
227,"0_1","0_1_22702_227_10006","Svetice",,1,22702,"227_5"
115,"0_1","0_1_11501_115_10004","Ljubljanica",,1,11501,"115_5"
4,"0_1","0_1_403_4_10058","Savski most",,1,403,"4_5"
13,"0_1","0_1_1303_13_10068","Žitnjak",,1,1303,"13_29"
2,"0_1","0_1_205_2_10049","Savišće",,0,205,"2_11"
11,"0_1","0_1_1105_11_10028","Črnomerec",,1,1105,"11_14"
310,"0_1","0_1_31001_310_10005","Petrovina",,0,31001,"310_12"
109,"0_1","0_1_10902_109_10003","Dugave",,0,10902,"109_1"
17,"0_1","0_1_1704_17_10039","Borongaj",,0,1704,"17_14"
13,"0_1","0_1_1304_13_10080","Žitnjak",,1,1304,"13_30"
8,"0_1","0_1_803_8_10041","Sopot",,0,803,
12,"0_1","0_1_1208_12_10035","Dubrava",,0,1208,"12_1"
5,"0_1","0_1_511_5_10028","Prečko",,1,511,"5_9"
4,"0_1","0_1_407_4_10027","Dubec",,0,407,"4_1"
9,"0_1","0_1_904_9_10055","Borongaj",,0,904,"9_1"
222,"0_1","0_1_22201_222_10004","Jaruščica",,1,22201,"222_24"
273,"0_1","0_1_27301_273_10004","Dubec",,1,27301,"273_6"
